,category,area,Type of use,Type of institution
257,global simulation,Meteorology,Research,Universities
258,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
260,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
262,precipitation,Mining,Research,Universities
264,precipitation,Meteorology,Research,Universities
265,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
266,max/min temperature,Meteorology,Engineering projects,Private sector (companies)
267,precipitation,Environmental,Engineering projects,Private sector (companies)
268,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
269,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
270,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
272,precipitation,Meteorology,Research,Universities
273,precipitation,Meteorology,Data Analysis,Universities
276,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
279,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
280,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
282,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
283,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
292,precipitation,Hidrology,Research,Private sector (companies)
293,max/min temperature,Meteorology,Data Analysis,Private sector (companies)
294,regional simulation,Environmental,Data Analysis,Private sector (companies)
295,regional simulation,Environmental,Data Analysis,Private sector (companies)
296,flow,Hidrology,Data Analysis,Universities
297,precipitation,Meteorology,Data Analysis,Universities
298,precipitation,Meteorology,Data Analysis,Universities
300,global simulation,Meteorology,Data Analysis,Universities
301,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
302,precipitation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
303,precipitation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
304,precipitation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
305,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
306,precipitation,Hidrology,Data Analysis,Universities
307,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
308,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
309,precipitation,Meteorology,Research,Universities
311,precipitation,Hidrology,Data Analysis,Private sector (companies)
312,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
313,precipitation,Sanitary Services,Data Analysis,Private sector (companies)
314,precipitation,Sanitary Services,Research,Center Research
315,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
316,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
317,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
318,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
319,precipitation,Mining,Data Analysis,Private sector (companies)
321,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
324,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
325,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
327,max/min temperature,Hidrology,Data Analysis,Public sector (state agencies)
328,max/min temperature,Energy,Data Analysis,Universities
329,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
330,precipitation,Meteorology,Research,Universities
331,flow,Hidrology,Research,Public sector (state agencies)
332,precipitation,Hidrology,Research,Public sector (state agencies)
333,precipitation,Hidrology,Research,Public sector (state agencies)
334,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
335,max/min temperature,Hidrology,Research,Public sector (state agencies)
336,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
337,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
338,precipitation,Meteorology,Research,Private sector (companies)
339,precipitation,Fishing/Aquaculture,Data Analysis,Universities
345,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
346,precipitation,Energy,Engineering projects,Private sector (companies)
349,precipitation,Energy,Data Analysis,Public sector (state agencies)
350,regional simulation,Environmental,Data Analysis,Universities
351,precipitation,Meteorology,Data Analysis,Other educational institutions
352,precipitation,Meteorology,Research,Private sector (companies)
354,precipitation,Environmental,Data Analysis,Private sector (companies)
355,regional simulation,Environmental,Data Analysis,Universities
356,precipitation,Environmental,Data Analysis,Private sector (companies)
357,precipitation,Energy,Data Analysis,Private sector (companies)
358,precipitation,Environmental,Data Analysis,Universities
360,precipitation,Meteorology,Research,Universities
361,precipitation,Economy/Sales/trends markets,Research,Universities
365,max/min temperature,Meteorology,Teaching,Universities
366,precipitation,Forestry,Research,Universities
367,max/min temperature,Economy/Sales/trends markets,Research,Private sector (companies)
375,precipitation,Hidrology,Research,Universities
376,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
379,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Universities
383,flow,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
385,precipitation,Hidrology,Data Analysis,Private sector (companies)
386,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
391,flow,Mathematics/Statistics/Modeling,Data Analysis,Universities
392,precipitation,Meteorology,Data Analysis,Universities
394,precipitation,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
400,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
401,precipitation,Meteorology,Teaching,Universities
402,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
403,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
404,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
405,regional simulation,Meteorology,Data Analysis,Universities
406,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Public sector (state agencies)
415,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
416,precipitation,Economy/Sales/trends markets,Teaching,Other educational institutions
420,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
421,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
424,precipitation,Environmental,Teaching,Universities
425,precipitation,Hidrology,Engineering projects,Trade-union associations and other organizations
426,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
427,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
428,precipitation,Energy,Data Analysis,Private sector (companies)
430,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
431,precipitation,Hidrology,Data Analysis,Universities
435,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
436,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
439,precipitation,Meteorology,Research,Universities
443,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Other educational institutions
444,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
445,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
446,precipitation,Economy/Sales/trends markets,Data Analysis,Public sector (state agencies)
447,precipitation,Energy,Data Analysis,Universities
448,precipitation,Hidrology,Data Analysis,Universities
449,precipitation,Meteorology,Data Analysis,Universities
450,precipitation,Ecology,Research,Universities
451,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
452,precipitation,Building/Architecture,Data Analysis,Universities
453,precipitation,GIS/Teledetection,Data Analysis,Universities
454,precipitation,Hidrology,Research,Trade-union associations and other organizations
455,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
456,precipitation,Meteorology,Data Analysis,Private sector (companies)
457,precipitation,Meteorology,Data Analysis,Private sector (companies)
458,precipitation,Hidrology,Research,Universities
459,precipitation,Environmental,Data Analysis,Private sector (companies)
460,precipitation,Forestry,Data Analysis,Public sector (state agencies)
467,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
468,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
469,precipitation,Hidrology,Data Analysis,Universities
473,precipitation,Ecology,Research,Universities
475,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
476,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
477,precipitation,Environmental,Data Analysis,Universities
478,precipitation,Building/Architecture,Data Analysis,Universities
479,precipitation,Hidrology,Teaching,Universities
481,precipitation,Meteorology,Research,Universities
482,precipitation,Meteorology,Research,Universities
483,precipitation,Environmental,Research,Universities
485,precipitation,Hidrology,Data Analysis,Universities
488,flow,Hidrology,Engineering projects,Universities
489,precipitation,Environmental,Data Analysis,Private sector (companies)
490,precipitation,Meteorology,Data Analysis,Private sector (companies)
492,precipitation,Hidrology,Research,Universities
493,precipitation,Meteorology,Engineering projects,Private sector (companies)
494,precipitation,Meteorology,Research,Universities
496,flow,Mining,Data Analysis,Private sector (companies)
498,flow,Mathematics/Statistics/Modeling,Data Analysis,Universities
500,global simulation,Forestry,Teaching,Universities
501,regional simulation,Hidrology,Data Analysis,Universities
502,flow,Environmental,Research,Private sector (companies)
503,flow,Environmental,Research,Universities
504,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
506,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
507,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
508,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
510,max/min temperature,Hidrology,Data Analysis,Public sector (state agencies)
511,precipitation,Forestry,Data Analysis,Private sector (companies)
512,precipitation,Hidrology,Research,Universities
513,precipitation,Hidrology,Data Analysis,Universities
515,precipitation,Environmental,Data Analysis,Private sector (companies)
516,regional simulation,Hidrology,Data Analysis,Center Research
517,precipitation,Meteorology,Research,Universities
518,precipitation,Meteorology,Research,Universities
519,precipitation,Meteorology,Teaching,Universities
521,precipitation,Hidrology,Data Analysis,Universities
522,flow,Communications,Data Analysis,Private sector (companies)
523,precipitation,Communications,Data Analysis,Private sector (companies)
525,precipitation,Energy,Data Analysis,Private sector (companies)
526,flow,Hidrology,Data Analysis,Public sector (state agencies)
527,precipitation,Energy,Research,Center Research
528,precipitation,Environmental,Engineering projects,Private sector (companies)
530,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
532,precipitation,Hidrology,Data Analysis,Private sector (companies)
533,precipitation,Economy/Sales/trends markets,Data Analysis,Universities
535,precipitation,Building/Architecture,Engineering projects,Universities
536,precipitation,Hidrology,Data Analysis,Private sector (companies)
537,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
538,precipitation,Environmental,Research,Universities
539,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
541,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
542,precipitation,Environmental,Data Analysis,Universities
544,precipitation,Forestry,Data Analysis,Universities
545,flow,Hidrology,Teaching,Universities
546,max/min temperature,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
547,precipitation,Economy/Sales/trends markets,Research,Private sector (companies)
548,precipitation,Communications,Data Analysis,Private sector (companies)
550,regional simulation,Meteorology,Research,Universities
551,flow,Hidrology,Data Analysis,Public sector (state agencies)
554,precipitation,Meteorology,Data Analysis,Universities
557,regional simulation,Hidrology,Research,Universities
558,regional simulation,Hidrology,Research,Universities
559,regional simulation,Hidrology,Research,Universities
561,regional simulation,Meteorology,Research,Universities
562,precipitation,Hidrology,Research,Universities
564,regional simulation,Meteorology,Data Analysis,Universities
568,max/min temperature,Economy/Sales/trends markets,Data Analysis,Universities
569,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
570,regional simulation,Hidrology,Data Analysis,Universities
571,regional simulation,Hidrology,Data Analysis,Universities
572,regional simulation,Hidrology,Data Analysis,Universities
573,max/min temperature,Building/Architecture,Engineering projects,Private sector (companies)
574,precipitation,Hidrology,Research,Universities
577,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
578,regional simulation,Hidrology,Data Analysis,Universities
579,regional simulation,Hidrology,Data Analysis,Universities
580,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
581,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
583,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
585,precipitation,Forestry,Data Analysis,Universities
587,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
588,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
592,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
595,regional simulation,Environmental,Data Analysis,Universities
596,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
597,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
598,precipitation,Hidrology,Data Analysis,Universities
599,precipitation,Meteorology,Data Analysis,Universities
600,precipitation,Meteorology,Data Analysis,Universities
601,max/min temperature,Hidrology,Data Analysis,Universities
603,regional simulation,Environmental,Teaching,Universities
604,flow,Environmental,Engineering projects,Private sector (companies)
605,precipitation,Hidrology,Data Analysis,Private sector (companies)
606,flow,Hidrology,Data Analysis,Universities
609,max/min temperature,Meteorology,Data Analysis,Public sector (state agencies)
612,precipitation,Hidrology,Research,Universities
613,precipitation,Hidrology,Research,Universities
616,precipitation,Hidrology,Data Analysis,Private sector (companies)
617,precipitation,Hidrology,Data Analysis,Universities
618,precipitation,Hidrology,Data Analysis,Universities
619,precipitation,Hidrology,Data Analysis,Universities
620,precipitation,Meteorology,Data Analysis,Universities
621,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
623,precipitation,Meteorology,Research,Universities
624,regional simulation,Hidrology,Data Analysis,Public sector (state agencies)
627,precipitation,Hidrology,Research,Public sector (state agencies)
629,precipitation,Meteorology,Data Analysis,Universities
630,precipitation,Environmental,Research,Center Research
631,precipitation,Environmental,Research,Center Research
632,precipitation,Meteorology,Research,Center Research
633,precipitation,Hidrology,Data Analysis,Private sector (companies)
634,max/min temperature,Environmental,Research,Center Research
635,precipitation,Meteorology,Data Analysis,Private sector (companies)
638,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Public sector (state agencies)
639,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
640,precipitation,Economy/Sales/trends markets,Research,Universities
642,precipitation,Ecology,Research,Universities
643,flow,Hidrology,Data Analysis,Universities
645,regional simulation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
646,precipitation,Meteorology,Data Analysis,Universities
647,precipitation,Forestry,Research,Universities
648,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
649,precipitation,Environmental,Data Analysis,Universities
651,precipitation,Environmental,Data Analysis,Universities
652,regional simulation,Forestry,Data Analysis,Universities
653,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
654,regional simulation,Environmental,Research,Universities
656,regional simulation,Environmental,Data Analysis,Private sector (companies)
657,regional simulation,Meteorology,Data Analysis,Universities
658,precipitation,Meteorology,Data Analysis,Universities
659,precipitation,Meteorology,Data Analysis,Universities
660,regional simulation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
661,regional simulation,Meteorology,Research,Universities
662,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
663,max/min temperature,Meteorology,Data Analysis,Universities
664,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
666,max/min temperature,Meteorology,Data Analysis,Universities
667,precipitation,Ecology,Research,Universities
674,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Universities
675,max/min temperature,Hidrology,Research,Universities
676,flow,Environmental,Engineering projects,Private sector (companies)
677,precipitation,Environmental,Engineering projects,Private sector (companies)
678,precipitation,Environmental,Engineering projects,Private sector (companies)
679,max/min temperature,Environmental,Engineering projects,Private sector (companies)
680,precipitation,Environmental,Data Analysis,Universities
687,global simulation,Health,Data Analysis,Public sector (state agencies)
688,precipitation,Hidrology,Research,Universities
689,max/min temperature,Mathematics/Statistics/Modeling,Data Analysis,Universities
690,precipitation,Hidrology,Engineering projects,Universities
691,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
692,precipitation,Meteorology,Data Analysis,Universities
693,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
694,regional simulation,Hidrology,Data Analysis,Private sector (companies)
696,precipitation,Meteorology,Research,Universities
698,regional simulation,Meteorology,Research,Universities
699,flow,Hidrology,Data Analysis,Private sector (companies)
700,precipitation,Hidrology,Data Analysis,Private sector (companies)
701,precipitation,Meteorology,Research,Private sector (companies)
704,global simulation,Meteorology,Teaching,Universities
705,global simulation,Meteorology,Teaching,Universities
706,precipitation,Hidrology,Data Analysis,Private sector (companies)
707,precipitation,Hidrology,Data Analysis,Private sector (companies)
708,precipitation,Meteorology,Research,Private sector (companies)
710,precipitation,Mathematics/Statistics/Modeling,Research,Universities
711,precipitation,Meteorology,Data Analysis,Private sector (companies)
712,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
713,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
715,flow,Building/Architecture,Engineering projects,Private sector (companies)
716,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
717,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
718,max/min temperature,Building/Architecture,Engineering projects,Private sector (companies)
719,precipitation,Meteorology,Data Analysis,Universities
722,flow,Meteorology,Data Analysis,Universities
726,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
727,precipitation,Communications,Data Analysis,Private sector (companies)
729,precipitation,Meteorology,Research,Universities
730,precipitation,Hidrology,Data Analysis,Private sector (companies)
731,precipitation,Meteorology,Data Analysis,Universities
732,precipitation,Meteorology,Data Analysis,Universities
734,regional simulation,Hidrology,Research,Center Research
735,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
736,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
737,global simulation,Meteorology,Research,Universities
738,regional simulation,Hidrology,Data Analysis,Universities
739,precipitation,Building/Architecture,Teaching,Private sector (companies)
741,flow,Fishing/Aquaculture,Research,Public sector (state agencies)
742,precipitation,Fishing/Aquaculture,Research,Public sector (state agencies)
743,precipitation,Fishing/Aquaculture,Research,Public sector (state agencies)
744,precipitation,Fishing/Aquaculture,Research,Public sector (state agencies)
745,max/min temperature,Fishing/Aquaculture,Research,Public sector (state agencies)
746,regional simulation,Fishing/Aquaculture,Research,Public sector (state agencies)
747,regional simulation,Hidrology,Research,Universities
749,precipitation,Energy,Engineering projects,Private sector (companies)
750,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
752,precipitation,Hidrology,Data Analysis,Private sector (companies)
753,precipitation,Forestry,Research,Universities
754,precipitation,Forestry,Research,Universities
755,precipitation,Meteorology,Data Analysis,Universities
757,regional simulation,Forestry,Research,Private sector (companies)
759,precipitation,Hidrology,Data Analysis,Private sector (companies)
760,flow,Hidrology,Data Analysis,Universities
761,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
764,precipitation,GIS/Teledetection,Data Analysis,Universities
767,precipitation,Environmental,Data Analysis,Universities
768,precipitation,Environmental,Research,Universities
769,precipitation,Environmental,Research,Private sector (companies)
771,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
772,flow,Hidrology,Data Analysis,Private sector (companies)
773,precipitation,GIS/Teledetection,Data Analysis,Universities
775,flow,Hidrology,Data Analysis,Private sector (companies)
776,flow,Fishing/Aquaculture,Data Analysis,Universities
777,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
